task_number,topic_code,topic_name,difficulty_level,difficulty_label,has_hints,num_steps,answer,source
22,PARALLEL-PROC,Параллельные вычисления,8,hard,True,2,1953,Statgrad Hard
22,PARALLEL-PROC,Параллельные вычисления,5,medium,True,2,1254,FIPI Standard
23,DP-COUNT,Динамическое программирование (кол-во путей),2,easy,True,2,14,FIPI Base
23,DP-COUNT,Динамическое программирование (кол-во путей),8,hard,True,2,24,EGE PDF Task
23,DP-COUNT,Динамическое программирование (кол-во путей),6,medium,True,1,28,FIPI Standard
24,STRINGS-HARD,Обработка символьных строк,2,easy,True,3,190,FIPI Base
24,STRINGS-HARD,Обработка символьных строк,8,hard,True,2,761,EGE PDF Task
24,STRINGS-HARD,Обработка символьных строк,6,medium,True,2,380,FIPI Standard
25,NUM-THEORY,Обработка целых чисел,2,easy,True,1,"102153304 50471
112151864 55411
122150424 60351
132159104 65296
142157664 70236
152156224 75176
162154784 80116
172153344 85056
182151904 89996
192150464 94936
1021504704 504696
1021514824 504701
1021524944 504706
1021535064 504711
1021545184 504716
1021555304 504721
1021565424 504726
1021575544 504731
1021585664 504736
1021595784 504741
1121500424 554101
1121510544 554106
1121520664 554111
1121530784 554116
1121540904 554121
1121551024 554126
1121561144 554131
1121571264 554136
1121581384 554141
1121591504 554146
1221506264 603511
1221516384 603516
1221526504 603521
1221536624 603526
1221546744 603531
1221556864 603536
1221566984 603541
1221577104 603546
1221587224 603551
1221597344 603556
1321501984 652916
1321512104 652921
1321522224 652926
1321532344 652931
1321542464 652936
1321552584 652941
1321562704 652946
1321572824 652951
1321582944 652956
1321593064 652961
1421507824 702326
1421517944 702331
1421528064 702336
1421538184 702341
1421548304 702346
1421558424 702351
1421568544 702356
1421578664 702361
1421588784 702366
1421598904 702371
1521503544 751731
1521513664 751736
1521523784 751741
1521533904 751746
1521544024 751751
1521554144 751756
1521564264 751761
1521574384 751766
1521584504 751771
1521594624 751776
1621509384 801141
1621519504 801146
1621529624 801151
1621539744 801156
1621549864 801161
1621559984 801166
1621570104 801171
1621580224 801176
1621590344 801181
1721505104 850546
1721515224 850551
1721525344 850556
1721535464 850561
1721545584 850566
1721555704 850571
1721565824 850576
1721575944 850581
1721586064 850586
1721596184 850591
1821500824 899951
1821510944 899956
1821521064 899961
1821531184 899966
1821541304 899971
1821551424 899976
1821561544 899981
1821571664 899986
1821581784 899991
1821591904 899996
1921506664 949361
1921516784 949366
1921526904 949371
1921537024 949376
1921547144 949381
1921557264 949386
1921567384 949391
1921577504 949396
1921587624 949401
1921597744 949406",FIPI Base
25,NUM-THEORY,Обработка целых чисел,8,hard,True,1,"120 211680
120 218400
144 221760
120 226800
120 231840
120 237600
128 240240
128 241920
120 249480
120 252000
128 257040
120 258720
144 262080
120 269280
120 272160
144 277200
120 280800
126 282240",EGE PDF Task
25,NUM-THEORY,Обработка целых чисел,6,medium,True,1,"500034 250019
500047 17272
500068 250036
500097 166702
500102 250053",FIPI Standard
26,ALG-GREEDY,Обработка данных (сортировка),2,easy,True,2,2364088,FIPI Base
26,ALG-GREEDY,Обработка данных (сортировка),8,hard,True,2,30 1,Statgrad Hard
26,ALG-GREEDY,Обработка данных (сортировка),6,medium,True,2,100,FIPI Standard
27,ALG-OPTIMIZATION,Эффективные алгоритмы,2,easy,True,2,347 1066550107,FIPI Standard
27,ALG-OPTIMIZATION,Эффективные алгоритмы,9,hard,True,1,3000,Statgrad Hard
27,ALG-OPTIMIZATION,Эффективные алгоритмы,7,medium,True,1,1685215,Statgrad Medium
